Node1,Node2,Forman-Ricci Curvature
0,68,-14
0,273,-15
0,360,-11
0,519,-15
0,586,-12
68,43,-15
68,139,-19
68,160,-16
68,167,-19
68,377,-18
68,407,-17
68,409,-19
68,503,-20
68,580,-22
68,716,-17
68,857,-16
68,858,-25
273,14,-19
273,70,-22
273,98,-18
273,141,-24
273,270,-19
273,392,-18
273,412,-15
273,567,-20
273,649,-22
273,690,-18
273,856,-17
273,921,-20
273,950,-28
360,65,-15
360,255,-19
360,389,-18
360,609,-14
360,640,-18
360,645,-21
360,659,-18
360,856,-13
360,906,-18
519,12,-24
519,93,-24
519,162,-25
519,191,-23
519,332,-20
519,350,-25
519,365,-26
519,379,-22
519,584,-20
519,593,-21
519,616,-21
519,805,-16
519,835,-27
586,7,-16
586,110,-17
586,139,-17
586,179,-12
586,202,-15
586,336,-24
586,362,-19
586,432,-20
586,643,-15
586,719,-17
1,17,-11
1,76,-16
1,277,-16
1,346,-14
1,400,-16
1,414,-17
1,472,-15
1,549,-18
1,714,-16
1,843,-22
1,940,-21
17,93,-14
17,231,-8
17,566,-10
76,254,-18
76,282,-18
76,420,-13
76,500,-20
76,503,-16
76,829,-12
76,963,-15
76,975,-18
277,167,-15
277,238,-21
277,365,-21
277,461,-11
277,499,-13
277,646,-15
277,667,-9
277,797,-18
346,146,-18
346,229,-13
346,639,-18
346,780,-14
346,790,-12
346,860,-18
400,49,-16
400,229,-15
400,384,-7
400,513,-21
400,595,-18
400,691,-16
400,711,-24
400,980,-19
414,118,-18
414,213,-15
414,238,-22
414,532,-26
414,819,-13
414,877,-25
414,898,-17
414,939,-15
414,956,-15
472,3,-15
472,209,-11
472,269,-13
472,437,-15
472,795,-12
472,911,-17
472,925,-18
549,90,-24
549,130,-15
549,140,-14
549,191,-20
549,274,-21
549,445,-20
549,629,-18
549,736,-11
549,762,-17
549,804,-16
714,42,-15
714,82,-17
714,117,-15
714,181,-15
714,371,-15
714,583,-11
714,806,-14
714,841,-12
843,364,-24
843,401,-29
843,406,-23
843,422,-24
843,425,-20
843,496,-22
843,500,-26
843,507,-21
843,616,-22
843,640,-23
843,729,-23
843,758,-20
843,809,-23
843,972,-29
940,100,-21
940,297,-27
940,350,-25
940,398,-19
940,422,-23
940,459,-19
940,490,-23
940,491,-19
940,679,-20
940,724,-23
940,838,-23
940,902,-23
940,947,-19
2,26,-17
2,125,-23
2,235,-13
2,298,-21
2,325,-15
2,326,-17
2,539,-23
2,568,-16
2,636,-20
2,678,-21
2,725,-14
2,830,-19
2,973,-16
26,100,-15
26,226,-12
26,389,-16
26,781,-12
26,840,-16
26,912,-19
26,970,-14
125,41,-23
125,60,-18
125,175,-20
125,311,-14
125,331,-22
125,365,-26
125,404,-18
125,446,-17
125,467,-18
125,712,-19
125,753,-27
125,916,-24
125,980,-24
235,390,-16
235,521,-13
235,889,-10
298,41,-21
298,61,-17
298,142,-25
298,204,-24
298,432,-21
298,446,-15
298,564,-21
298,583,-14
298,730,-20
298,976,-22
298,984,-14
325,51,-16
325,114,-10
325,183,-12
325,620,-18
325,812,-14
326,148,-14
326,152,-17
326,206,-19
326,218,-13
326,620,-20
326,807,-13
326,877,-23
539,12,-24
539,194,-19
539,254,-23
539,337,-19
539,569,-20
539,570,-20
539,582,-19
539,639,-25
539,658,-22
539,666,-21
539,701,-21
539,921,-20
539,928,-19
568,321,-10
568,331,-15
568,395,-13
568,507,-13
568,740,-21
568,862,-10
636,359,-13
636,452,-23
636,521,-20
636,609,-15
636,638,-16
636,676,-15
636,729,-19
636,742,-17
636,772,-21
636,953,-20
678,98,-16
678,143,-17
678,176,-17
678,184,-21
678,245,-25
678,369,-28
678,387,-14
678,559,-20
678,561,-22
678,697,-23
678,755,-19
725,36,-13
725,331,-13
725,577,-12
725,630,-15
830,73,-15
830,192,-19
830,197,-21
830,205,-20
830,352,-14
830,382,-16
830,398,-15
830,581,-15
830,680,-17
973,123,-12
973,167,-13
973,577,-14
973,704,-13
973,742,-13
973,823,-15
3,165,-30
3,179,-12
3,312,-13
3,362,-19
3,383,-21
3,450,-18
3,572,-13
3,713,-17
3,721,-18
3,753,-24
165,64,-31
165,110,-29
165,227,-26
165,236,-34
165,253,-33
165,363,-33
165,404,-27
165,406,-31
165,437,-30
165,473,-33
165,483,-27
165,556,-36
165,604,-29
165,672,-31
165,724,-32
165,777,-37
165,876,-29
165,909,-31
165,921,-29
165,960,-33
165,963,-29
165,989,-32
179,159,-13
179,249,-18
179,671,-18
312,11,-14
312,187,-8
312,480,-13
312,647,-13
312,889,-12
362,27,-23
362,30,-17
362,74,-21
362,266,-14
362,426,-19
362,543,-19
362,556,-25
362,597,-19
362,761,-17
362,919,-18
383,27,-25
383,61,-19
383,75,-23
383,89,-15
383,106,-25
383,401,-28
383,480,-21
383,621,-16
383,705,-20
383,709,-21
383,805,-16
383,837,-19
383,933,-18
450,78,-18
450,223,-23
450,508,-16
450,555,-14
450,576,-19
450,624,-18
450,707,-22
450,886,-21
450,925,-21
450,947,-16
572,232,-13
572,361,-11
572,590,-9
572,809,-14
572,821,-10
713,161,-14
713,222,-16
713,353,-14
713,371,-16
713,382,-16
713,432,-19
713,630,-20
713,840,-18
713,860,-21
721,29,-20
721,56,-19
721,260,-29
721,276,-14
721,423,-23
721,438,-17
721,457,-18
721,536,-16
721,782,-17
721,854,-13
753,90,-30
753,133,-21
753,140,-20
753,248,-26
753,251,-25
753,357,-28
753,396,-27
753,437,-24
753,541,-27
753,546,-24
753,719,-23
753,744,-17
753,752,-22
753,925,-27
753,983,-27
4,153,-16
4,186,-17
4,198,-20
4,313,-22
4,374,-15
4,495,-18
4,545,-19
4,715,-22
4,739,-20
4,844,-15
4,885,-20
153,101,-12
153,144,-15
153,186,-15
153,191,-18
153,402,-17
153,655,-22
153,735,-12
153,941,-15
186,257,-18
186,323,-14
186,368,-17
186,444,-16
186,600,-20
186,670,-21
186,928,-15
186,960,-20
198,63,-19
198,175,-19
198,247,-14
198,373,-20
198,375,-20
198,551,-17
198,739,-22
198,842,-17
198,860,-24
198,898,-20
198,979,-22
198,997,-17
313,7,-20
313,30,-20
313,90,-28
313,120,-20
313,205,-25
313,280,-23
313,349,-19
313,396,-25
313,418,-23
313,648,-21
313,738,-22
313,841,-18
313,901,-19
313,992,-23
374,18,-18
374,196,-17
374,274,-18
374,350,-19
374,633,-17
374,665,-13
374,815,-15
495,177,-16
495,363,-21
495,423,-23
495,476,-13
495,624,-18
495,816,-13
495,818,-14
495,859,-23
495,880,-22
495,943,-16
545,55,-18
545,69,-18
545,83,-20
545,91,-17
545,160,-15
545,169,-25
545,204,-24
545,367,-16
545,497,-20
545,662,-12
545,803,-17
715,189,-19
715,193,-23
715,243,-26
715,256,-17
715,280,-23
715,323,-19
715,357,-26
715,457,-22
715,639,-26
715,695,-17
715,719,-21
715,879,-28
715,901,-19
715,976,-25
739,108,-14
739,116,-17
739,370,-26
739,424,-23
739,532,-29
739,618,-17
739,635,-28
739,645,-24
739,760,-18
739,773,-14
739,950,-27
844,66,-15
844,195,-12
844,378,-18
844,639,-19
844,691,-15
844,928,-13
844,949,-11
885,13,-20
885,44,-25
885,221,-18
885,279,-18
885,379,-21
885,441,-20
885,480,-20
885,620,-25
885,730,-21
885,735,-16
885,882,-18
885,956,-18
5,112,-24
5,147,-21
5,212,-25
5,259,-23
5,260,-37
5,310,-27
5,459,-24
5,520,-24
5,564,-28
5,585,-31
5,771,-25
5,837,-24
5,855,-26
5,904,-22
5,907,-28
5,933,-23
5,938,-24
5,941,-25
5,947,-24
112,203,-13
112,255,-18
112,521,-18
112,682,-17
112,806,-14
112,891,-12
112,941,-15
112,965,-15
147,91,-11
147,150,-6
147,242,-17
147,299,-15
147,406,-14
212,40,-13
212,127,-16
212,290,-16
212,305,-13
212,375,-17
212,429,-11
212,453,-17
212,659,-18
212,977,-10
259,295,-18
259,303,-15
259,373,-15
259,465,-13
259,497,-16
259,628,-17
259,798,-17
260,100,-29
260,152,-31
260,229,-28
260,236,-33
260,241,-30
260,376,-30
260,407,-26
260,465,-27
260,474,-27
260,477,-26
260,521,-31
260,528,-28
260,570,-28
260,601,-28
260,634,-25
260,635,-37
260,687,-28
260,769,-30
260,871,-33
260,996,-25
310,35,-23
310,48,-19
310,72,-22
310,130,-16
310,221,-17
310,230,-17
310,393,-19
310,464,-19
310,717,-19
310,893,-21
310,972,-26
459,23,-19
459,201,-15
459,309,-10
459,422,-18
459,485,-16
459,691,-16
459,969,-15
520,123,-14
520,191,-18
520,314,-15
520,682,-17
520,727,-14
520,772,-19
520,826,-16
520,901,-13
564,51,-23
564,87,-17
564,268,-21
564,334,-23
564,394,-19
564,407,-17
564,570,-19
564,575,-18
564,610,-23
564,674,-19
564,780,-20
585,71,-19
585,210,-27
585,213,-21
585,242,-27
585,267,-18
585,336,-29
585,393,-23
585,455,-25
585,464,-23
585,523,-27
585,559,-24
585,626,-19
585,750,-22
585,780,-23
585,933,-20
771,9,-21
771,244,-16
771,309,-11
771,343,-15
771,390,-22
771,569,-16
771,840,-18
771,935,-12
771,968,-17
837,282,-18
837,340,-17
837,416,-13
837,733,-18
837,794,-15
837,836,-18
837,924,-19
855,50,-15
855,121,-17
855,420,-15
855,504,-14
855,512,-22
855,553,-12
855,563,-20
855,595,-20
855,648,-17
855,961,-18
904,35,-18
904,56,-15
904,372,-11
904,835,-20
904,905,-13
904,944,-17
907,178,-17
907,188,-19
907,236,-24
907,253,-23
907,373,-20
907,438,-19
907,482,-18
907,579,-17
907,783,-25
907,815,-20
907,860,-24
907,895,-19
933,65,-13
933,614,-13
933,686,-17
933,698,-14
933,979,-17
938,35,-20
938,408,-11
938,485,-16
938,514,-15
938,596,-18
938,877,-24
938,948,-14
938,967,-19
941,9,-21
941,79,-26
941,188,-16
941,220,-16
941,246,-19
941,388,-20
941,963,-16
947,8,-13
947,90,-22
947,386,-10
947,702,-12
947,815,-16
947,967,-19
6,162,-22
6,204,-23
6,320,-16
6,441,-18
6,451,-15
6,457,-18
6,499,-15
6,511,-15
6,694,-13
6,823,-19
6,862,-14
162,22,-26
162,44,-27
162,134,-23
162,158,-21
162,387,-17
162,420,-19
162,445,-24
162,671,-28
162,685,-26
162,695,-17
162,703,-25
162,704,-21
162,807,-20
204,18,-26
204,63,-22
204,64,-24
204,175,-22
204,248,-25
204,560,-25
204,571,-20
204,627,-20
204,648,-22
204,732,-20
204,759,-29
204,868,-18
204,999,-20
320,37,-13
320,338,-14
320,365,-21
320,509,-13
320,561,-19
320,566,-15
320,752,-14
320,767,-13
441,329,-14
441,390,-23
441,473,-21
441,526,-18
441,759,-24
441,768,-26
441,826,-18
441,872,-16
441,874,-21
451,274,-18
451,570,-14
451,681,-17
451,785,-16
451,808,-9
451,900,-14
451,916,-18
457,242,-22
457,301,-15
457,329,-14
457,470,-19
457,491,-16
457,541,-21
457,604,-17
457,897,-21
499,524,-14
499,534,-12
499,712,-13
499,803,-13
