Node1,Node2,Forman-Ricci Curvature
0,1,-92
0,2,-118
0,3,-89
0,4,-110
0,5,-76
0,6,-138
0,7,-91
0,13,-57
0,16,-97
0,18,-94
0,21,-101
0,25,-68
0,33,-67
0,34,-101
0,36,-77
0,38,-70
0,130,-66
0,133,-57
0,188,-55
0,190,-56
0,197,-57
0,210,-57
0,222,-52
0,241,-58
0,313,-57
0,351,-54
0,388,-52
0,400,-55
0,414,-52
0,417,-52
0,447,-53
0,476,-56
0,496,-53
0,505,-54
0,519,-54
0,525,-55
0,546,-53
0,552,-56
0,559,-53
0,569,-54
0,582,-54
0,621,-52
0,642,-52
0,659,-54
0,667,-53
0,682,-53
0,709,-53
0,719,-54
0,730,-53
0,799,-52
0,897,-53
0,915,-52
1,5,-68
1,6,-130
1,7,-83
1,8,-97
1,12,-78
1,14,-110
1,22,-69
1,30,-47
1,38,-62
1,55,-74
1,77,-53
1,83,-47
1,107,-69
1,110,-55
1,115,-53
1,191,-47
1,201,-49
1,212,-49
1,234,-46
1,249,-47
1,262,-48
1,279,-49
1,302,-49
1,331,-45
1,405,-45
1,406,-46
1,409,-49
1,435,-45
1,455,-45
1,479,-46
1,495,-44
1,542,-44
1,610,-44
1,647,-45
1,655,-45
1,671,-44
1,710,-46
1,817,-44
1,876,-44
1,879,-46
1,886,-44
1,893,-44
1,968,-44
2,5,-94
2,6,-156
2,8,-123
2,10,-113
2,11,-104
2,13,-75
2,14,-136
2,17,-97
2,18,-112
2,20,-110
2,25,-86
2,26,-81
2,27,-83
2,32,-97
2,33,-85
2,39,-110
2,57,-86
2,70,-72
2,80,-93
2,95,-79
2,106,-74
2,124,-75
2,132,-80
2,142,-73
2,146,-72
2,159,-73
2,164,-83
2,179,-70
2,192,-73
2,194,-73
2,202,-74
2,211,-72
2,229,-74
2,230,-75
2,237,-71
2,240,-76
2,255,-73
2,256,-77
2,269,-74
2,276,-70
2,297,-81
2,298,-71
2,307,-72
2,334,-71
2,352,-72
2,408,-71
2,415,-72
2,440,-74
2,506,-70
2,570,-71
2,589,-70
2,655,-71
2,668,-71
2,679,-72
2,727,-71
2,745,-70
2,768,-71
2,769,-70
2,785,-70
2,801,-70
2,835,-70
2,839,-70
2,847,-71
2,884,-71
2,887,-70
2,901,-70
2,935,-70
2,946,-70
2,961,-70
3,5,-65
3,11,-75
3,22,-66
3,29,-59
3,36,-66
3,41,-59
3,44,-89
3,57,-57
3,59,-49
3,67,-61
3,78,-45
3,97,-43
3,98,-48
3,102,-61
3,126,-48
3,136,-53
3,157,-47
3,174,-51
3,187,-43
3,195,-44
3,277,-48
3,293,-49
3,297,-52
3,339,-44
3,351,-43
3,427,-46
3,431,-46
3,451,-43
3,544,-42
3,570,-42
3,575,-43
3,624,-41
3,652,-41
3,660,-44
3,758,-42
3,771,-41
3,776,-43
3,966,-41
3,973,-41
3,986,-41
4,6,-148
4,7,-101
4,8,-115
4,9,-107
4,12,-96
4,14,-128
4,21,-111
4,22,-87
4,23,-74
4,27,-75
4,35,-66
4,53,-72
4,54,-80
4,73,-65
4,75,-71
4,77,-71
4,81,-72
4,89,-68
4,92,-64
4,111,-64
4,112,-68
4,114,-72
4,123,-64
4,143,-71
4,148,-68
4,175,-67
4,194,-65
4,215,-64
4,217,-73
4,223,-64
4,225,-63
4,250,-69
4,273,-68
4,290,-62
