Edge,Ollivier-Ricci Curvature
"('0', '38')",-0.4722222222222219
"('0', '87')",-0.45879120879120827
"('0', '148')",-0.4999999999999998
"('0', '160')",-0.5071428571428567
"('0', '202')",-0.5142857142857138
"('0', '281')",-0.55
"('0', '303')",-0.5238095238095233
"('0', '610')",-0.48214285714285676
"('0', '620')",-0.5476190476190461
"('0', '787')",-0.4241071428571428
"('0', '791')",-0.519480519480519
"('0', '803')",-0.3214285714285714
"('0', '910')",-0.45535714285714235
"('0', '975')",-0.5803571428571426
"('38', '42')",-0.4583333333333335
"('38', '73')",-0.4848484848484844
"('38', '107')",-0.4333333333333331
"('38', '146')",-0.5972222222222228
"('38', '200')",-0.42222222222222205
"('38', '538')",-0.4277777777777776
"('38', '849')",-0.6111111111111109
"('38', '920')",-0.4166666666666665
"('87', '111')",-0.6971153846153841
"('87', '315')",-0.5038461538461532
"('87', '318')",-0.5641025641025637
"('87', '382')",-0.6025641025641022
"('87', '389')",-0.5480769230769225
"('87', '399')",-0.5256410256410249
"('87', '579')",-0.4923076923076919
"('87', '763')",-0.5692307692307688
"('87', '875')",-0.6025641025641024
"('87', '888')",-0.5256410256410251
"('87', '891')",-0.6648351648351647
"('87', '920')",-0.5256410256410253
"('148', '17')",-0.4166666666666665
"('148', '151')",-0.7333333333333334
"('148', '325')",-0.5476190476190472
"('148', '328')",-0.547619047619047
"('148', '632')",-0.5256410256410251
"('160', '23')",-0.4666666666666661
"('160', '24')",-0.49999999999999956
"('160', '171')",-0.4499999999999993
"('160', '235')",-0.6499999999999997
"('160', '305')",-0.5249999999999997
"('160', '361')",-0.6083333333333327
"('160', '389')",-0.4499999999999993
"('160', '511')",-0.5499999999999996
"('160', '557')",-0.6124999999999992
"('160', '562')",-0.6499999999999997
"('160', '593')",-0.4499999999999986
"('160', '594')",-0.47499999999999964
"('160', '796')",-0.5638888888888884
"('160', '835')",-0.5846153846153841
"('160', '842')",-0.6499999999999992
"('160', '848')",-0.5214285714285709
"('160', '915')",-0.5083333333333326
"('160', '949')",-0.5499999999999992
"('160', '959')",-0.5714285714285703
"('202', '95')",-0.6000000000000001
"('202', '431')",-0.43636363636363606
"('202', '439')",-0.47727272727272707
"('202', '476')",-0.5153846153846156
"('202', '658')",-0.4277777777777778
"('202', '757')",-0.3999999999999999
"('202', '940')",-0.40000000000000013
"('202', '954')",-0.5071428571428576
"('202', '998')",-0.4125000000000003
"('281', '244')",-0.577777777777778
"('281', '378')",-0.40000000000000013
"('281', '485')",-0.5727272727272728
"('281', '531')",-0.5
"('303', '28')",-0.3416666666666661
"('303', '214')",-0.441666666666666
"('303', '269')",-0.5749999999999993
"('303', '300')",-0.5124999999999993
"('303', '414')",-0.5666666666666664
"('303', '486')",-0.533333333333333
"('303', '584')",-0.4999999999999991
"('303', '777')",-0.5393939393939389
"('303', '836')",-0.5124999999999993
"('303', '882')",-0.4055555555555548
"('303', '895')",-0.5
"('303', '907')",-0.5333333333333334
"('303', '922')",-0.5499999999999994
"('303', '974')",-0.5166666666666666
"('610', '278')",-0.6071428571428572
"('610', '313')",-0.482142857142857
"('610', '344')",-0.3680555555555556
"('610', '477')",-0.6041666666666663
"('610', '485')",-0.323863636363636
"('610', '682')",-0.5576923076923073
"('610', '827')",-0.5714285714285714
"('620', '23')",-0.4940476190476184
"('620', '46')",-0.4633699633699624
"('620', '245')",-0.5463659147869664
"('620', '258')",-0.571428571428571
"('620', '318')",-0.32738095238095166
"('620', '356')",-0.44047619047619
"('620', '441')",-0.4776785714285705
"('620', '471')",-0.5366300366300363
"('620', '536')",-0.6142857142857145
"('620', '577')",-0.5380952380952375
"('620', '612')",-0.6428571428571419
"('620', '648')",-0.4642857142857133
"('620', '688')",-0.445887445887446
"('620', '717')",-0.43650793650793585
"('620', '719')",-0.5897435897435894
"('620', '884')",-0.49999999999999933
"('620', '893')",-0.5238095238095231
"('620', '906')",-0.5627705627705626
"('620', '933')",-0.6017316017316017
"('620', '961')",-0.4999999999999998
"('787', '24')",-0.3687499999999999
"('787', '45')",-0.4374999999999998
"('787', '147')",-0.49553571428571375
"('787', '189')",-0.5480769230769229
"('787', '271')",-0.5659722222222217
"('787', '276')",-0.553977272727272
"('787', '334')",-0.3541666666666665
"('787', '340')",-0.46874999999999956
"('787', '443')",-0.4687499999999998
"('787', '469')",-0.6761363636363633
"('787', '488')",-0.45625000000000027
"('787', '714')",-0.5961538461538463
"('787', '725')",-0.4062499999999998
"('787', '734')",-0.4062499999999998
"('787', '912')",-0.5982142857142856
"('791', '22')",-0.4954545454545449
"('791', '33')",-0.6188811188811183
"('791', '68')",-0.5209790209790204
"('791', '262')",-0.5454545454545452
"('791', '284')",-0.6515151515151507
"('791', '298')",-0.4823232323232314
"('791', '365')",-0.5277777777777766
"('791', '462')",-0.6727272727272717
"('791', '509')",-0.4469696969696959
"('791', '537')",-0.5397727272727268
"('791', '584')",-0.5252525252525244
"('791', '685')",-0.5965909090909083
"('791', '697')",-0.5454545454545447
"('791', '728')",-0.6499999999999992
"('791', '774')",-0.5833333333333321
"('791', '795')",-0.4772727272727266
"('791', '817')",-0.670454545454545
"('791', '822')",-0.4696969696969695
"('791', '843')",-0.47222222222222143
"('791', '864')",-0.5909090909090906
"('791', '919')",-0.5961538461538458
"('803', '17')",-0.4107142857142847
"('803', '45')",-0.3839285714285712
"('803', '258')",-0.44047619047619
"('803', '394')",-0.589285714285714
"('803', '552')",-0.5773809523809519
"('803', '593')",-0.426190476190476
"('803', '663')",-0.6233766233766231
"('803', '670')",-0.47321428571428514
"('803', '671')",-0.48626373626373565
"('803', '713')",-0.5389610389610389
"('803', '889')",-0.44047619047619047
"('803', '892')",-0.46103896103896114
"('803', '948')",-0.5476190476190472
"('910', '1')",-0.5277777777777777
"('910', '331')",-0.675
"('910', '428')",-0.5817307692307689
"('910', '548')",-0.5961538461538458
"('910', '609')",-0.5808823529411764
"('910', '819')",-0.5227272727272723
"('910', '889')",-0.5347222222222221
"('975', '64')",-0.5745192307692306
"('975', '92')",-0.47222222222222165
"('975', '208')",-0.5937499999999998
"('975', '275')",-0.5062499999999994
"('975', '296')",-0.6071428571428568
"('975', '312')",-0.4249999999999996
"('975', '351')",-0.5687500000000001
"('975', '439')",-0.4772727272727264
"('975', '491')",-0.4895833333333335
"('975', '646')",-0.46022727272727204
"('975', '669')",-0.5034722222222217
"('975', '677')",-0.43303571428571397
"('975', '894')",-0.37053571428571397
"('975', '905')",-0.5416666666666659
"('975', '984')",-0.5659722222222217
"('1', '179')",-0.4949494949494946
"('1', '198')",-0.4333333333333331
"('1', '275')",-0.4888888888888885
"('1', '306')",-0.5674603174603174
"('1', '554')",-0.5707070707070705
"('1', '572')",-0.4358974358974361
"('1', '701')",-0.6965811965811968
"('1', '725')",-0.47916666666666674
"('179', '43')",-0.5181818181818181
"('179', '296')",-0.63961038961039
"('179', '394')",-0.5369318181818181
"('179', '488')",-0.4818181818181817
"('179', '561')",-0.5265151515151509
"('179', '585')",-0.4999999999999998
"('179', '596')",-0.5727272727272728
"('179', '825')",-0.5454545454545454
"('179', '919')",-0.5559440559440565
"('179', '923')",-0.36363636363636354
"('198', '8')",-0.5499999999999996
"('198', '62')",-0.5444444444444443
"('198', '158')",-0.4696969696969695
"('198', '220')",-0.4692307692307689
"('198', '309')",-0.44102564102564035
"('198', '317')",-0.5256410256410251
"('198', '445')",-0.48333333333333317
"('198', '461')",-0.35757575757575744
"('198', '507')",-0.6060606060606053
"('198', '628')",-0.4333333333333329
"('198', '654')",-0.444444444444444
"('198', '879')",-0.5
"('198', '972')",-0.5499999999999994
"('198', '976')",-0.49999999999999956
"('275', '60')",-0.4409090909090909
"('275', '333')",-0.6000000000000001
"('275', '436')",-0.5000000000000004
"('275', '581')",-0.6388888888888888
"('275', '593')",-0.5000000000000002
"('275', '662')",-0.43888888888888866
"('275', '717')",-0.5888888888888888
"('275', '972')",-0.5249999999999999
"('306', '44')",-0.4999999999999998
"('306', '51')",-0.4619047619047616
"('306', '162')",-0.6357142857142857
"('306', '218')",-0.5142857142857136
"('306', '345')",-0.49450549450549386
"('306', '367')",-0.5499999999999996
"('306', '545')",-0.5934065934065926
"('306', '597')",-0.45129870129870087
"('306', '623')",-0.45714285714285685
"('306', '673')",-0.6675824175824172
"('306', '766')",-0.49206349206349165
"('306', '826')",-0.35714285714285654
"('306', '935')",-0.47023809523809423
"('554', '45')",-0.6306818181818177
"('554', '76')",-0.3939393939393936
"('554', '222')",-0.3961038961038963
"('554', '464')",-0.5852272727272725
"('554', '471')",-0.5874125874125877
"('554', '506')",-0.5272727272727271
"('554', '850')",-0.5129870129870133
"('554', '918')",-0.5994318181818183
"('554', '973')",-0.44055944055944063
