Edge,Ollivier-Ricci Curvature
"('0', '1')",-0.43016055045871604
"('0', '2')",-0.255300713557596
"('0', '3')",-0.3669724770642211
"('0', '4')",-0.33460026212319827
"('0', '5')",-0.3576146788990835
"('0', '6')",-0.2716169724770656
"('0', '7')",-0.4537295572397291
"('0', '8')",-0.5176243360695318
"('0', '10')",-0.44321417273014907
"('0', '11')",-0.44535301156761276
"('0', '12')",-0.46559633027523173
"('0', '15')",-0.4573041637261841
"('0', '17')",-0.547203314590115
"('0', '18')",-0.4837364470392007
"('0', '22')",-0.46012702893436974
"('0', '23')",-0.40443425076452866
"('0', '27')",-0.5389908256880744
"('0', '32')",-0.4892966360856281
"('0', '34')",-0.5435779816513768
"('0', '35')",-0.5658882402001679
"('0', '37')",-0.497497914929109
"('0', '38')",-0.5243953294412014
"('0', '40')",-0.5296080066722277
"('0', '42')",-0.6133682830930551
"('0', '48')",-0.4555398729710669
"('0', '50')",-0.5248123436196837
"('0', '64')",-0.385321100917432
"('0', '66')",-0.5966831333803817
"('0', '68')",-0.5660550458715594
"('0', '69')",-0.39105504587156115
"('0', '72')",-0.547539616346957
"('0', '76')",-0.5020387359836913
"('0', '83')",-0.5352858151023294
"('0', '85')",-0.5874836173001305
"('0', '96')",-0.5938281901584663
"('0', '102')",-0.5399737876802109
"('0', '114')",-0.6060442525634131
"('0', '117')",-0.5714831804281353
"('0', '118')",-0.5240825688073396
"('0', '128')",-0.40825688073394706
"('0', '132')",-0.5336391437308892
"('0', '133')",-0.5565749235474022
"('0', '135')",-0.47018348623853234
"('0', '138')",-0.5611620795107037
"('0', '145')",-0.5701179554390572
"('0', '152')",-0.5669724770642199
"('0', '153')",-0.4403669724770649
"('0', '164')",-0.6227064220183496
"('0', '171')",-0.3532110091743139
"('0', '172')",-0.5252293577981655
"('0', '173')",-0.5822989746357266
"('0', '187')",-0.6348623853211011
"('0', '190')",-0.3394495412844061
"('0', '203')",-0.594036697247708
"('0', '208')",-0.5940366972477058
"('0', '215')",-0.5440366972477062
"('0', '224')",-0.5758965804837382
"('0', '225')",-0.6389908256880739
"('0', '235')",-0.6389252948885993
"('0', '236')",-0.6824668705402654
"('0', '238')",-0.45321100917431467
"('0', '260')",-0.525229357798165
"('0', '272')",-0.59862385321101
"('0', '288')",-0.5844036697247714
"('0', '303')",-0.5152905198776763
"('0', '304')",-0.5720838794233296
"('0', '308')",-0.33486238532110213
"('0', '309')",-0.6169724770642204
"('0', '315')",-0.6205766710353873
"('0', '331')",-0.6674311926605496
"('0', '360')",-0.5103211009174331
"('0', '371')",-0.6532110091743133
"('0', '374')",-0.3807339449541318
"('0', '383')",-0.5940366972477069
"('0', '387')",-0.6828309305373541
"('0', '391')",-0.594036697247708
"('0', '413')",-0.40825688073394684
"('0', '426')",-0.5244648318042826
"('0', '469')",-0.6169724770642209
"('0', '473')",-0.7057667103538676
"('0', '477')",-0.5057339449541303
"('0', '482')",-0.4143730886850161
"('0', '501')",-0.6169724770642213
"('0', '511')",-0.43577981651376385
"('0', '517')",-0.5657492354740077
"('0', '535')",-0.5894495412844039
"('0', '541')",-0.21865443425076725
"('0', '559')",-0.6962283384301744
"('0', '566')",-0.4403669724770667
"('0', '597')",-0.5344036697247698
"('0', '614')",-0.5011467889908252
"('0', '621')",-0.537844036697249
"('0', '630')",-0.48776758409786014
"('0', '636')",-0.4235474006116213
"('0', '646')",-0.54954128440367
"('0', '729')",-0.5516055045871564
"('0', '734')",-0.5711009174311927
"('0', '739')",-0.51987767584098
"('0', '740')",-0.47400611620795163
"('0', '802')",-0.64908256880734
"('0', '814')",-0.5198776758409798
"('0', '817')",-0.5152905198776776
"('0', '820')",-0.47400611620795186
"('0', '873')",-0.6169724770642209
"('0', '896')",-0.45871559633027736
"('0', '912')",-0.5749235474006136
"('0', '925')",-0.5932721712538243
"('0', '967')",-0.38990825688073527
"('0', '983')",-0.3119266055045882
"('1', '4')",-0.40714285714285414
"('1', '5')",-0.5024999999999993
"('1', '10')",-0.5038793103448265
"('1', '16')",-0.5557692307692286
"('1', '19')",-0.5189516129032252
"('1', '22')",-0.4573717948717928
"('1', '43')",-0.6249999999999978
"('1', '51')",-0.5749999999999977
"('1', '53')",-0.49583333333333157
"('1', '66')",-0.533653846153844
"('1', '91')",-0.5277777777777757
"('1', '94')",-0.5232142857142839
"('1', '105')",-0.5857142857142836
"('1', '147')",-0.45416666666666505
"('1', '231')",-0.47916666666666474
"('1', '235')",-0.535714285714284
"('1', '247')",-0.6374999999999977
"('1', '264')",-0.5374999999999979
"('1', '281')",-0.5624999999999984
"('1', '370')",-0.4791666666666654
"('1', '373')",-0.576785714285712
"('1', '398')",-0.3874999999999986
"('1', '408')",-0.337499999999999
"('1', '413')",-0.32499999999999885
"('1', '415')",-0.3124999999999991
"('1', '443')",-0.3374999999999988
"('1', '531')",-0.2624999999999995
"('1', '541')",-0.14583333333333304
"('1', '569')",-0.5208333333333315
"('1', '585')",-0.4749999999999983
"('1', '599')",-0.5499999999999983
"('1', '601')",-0.6499999999999977
"('1', '617')",-0.5291666666666643
"('1', '695')",-0.36666666666666536
"('1', '828')",-0.5541666666666647
"('1', '845')",-0.5124999999999982
"('1', '868')",-0.46666666666666545
"('1', '886')",-0.3124999999999991
"('1', '960')",-0.34166666666666523
"('2', '4')",-0.31111111111110845
"('2', '5')",-0.30444444444444163
"('2', '6')",-0.3020833333333319
"('2', '7')",-0.38502415458936956
"('2', '9')",-0.4496732026143757
"('2', '10')",-0.4626436781609171
"('2', '11')",-0.4210144927536206
"('2', '12')",-0.40972222222221943
"('2', '13')",-0.5255555555555529
"('2', '18')",-0.48484848484848175
"('2', '19')",-0.4625448028673813
"('2', '20')",-0.3972899728997277
"('2', '21')",-0.48888888888888515
"('2', '23')",-0.3944444444444415
"('2', '24')",-0.5249999999999964
"('2', '29')",-0.5079365079365044
"('2', '30')",-0.4424836601307156
"('2', '35')",-0.5161616161616125
"('2', '38')",-0.4944444444444409
"('2', '41')",-0.48055555555555185
"('2', '58')",-0.5222222222222184
"('2', '67')",-0.5111111111111077
"('2', '69')",-0.3305555555555528
"('2', '74')",-0.4111111111111079
"('2', '75')",-0.4111111111111083
"('2', '78')",-0.5055555555555522
"('2', '80')",-0.5138888888888855
"('2', '81')",-0.4166666666666625
"('2', '82')",-0.5333333333333297
"('2', '84')",-0.5531746031746001
"('2', '92')",-0.5468253968253933
"('2', '98')",-0.630555555555552
"('2', '101')",-0.4624999999999968
"('2', '102')",-0.5468253968253933
"('2', '103')",-0.44494949494949165
"('2', '111')",-0.6499999999999957
"('2', '123')",-0.5111111111111077
"('2', '139')",-0.6111111111111072
"('2', '148')",-0.6277777777777733
"('2', '150')",-0.536363636363633
"('2', '158')",-0.5484126984126954
"('2', '170')",-0.46111111111110814
"('2', '171')",-0.3166666666666629
"('2', '190')",-0.34444444444444167
"('2', '200')",-0.5222222222222184
"('2', '205')",-0.6143274853801135
"('2', '221')",-0.6222222222222187
"('2', '225')",-0.5833333333333295
"('2', '268')",-0.5111111111111075
"('2', '269')",-0.40555555555555145
"('2', '279')",-0.6333333333333295
"('2', '280')",-0.6111111111111069
"('2', '284')",-0.46111111111110703
"('2', '287')",-0.5916666666666635
"('2', '311')",-0.6777777777777736
"('2', '319')",-0.42222222222221895
"('2', '358')",-0.6277777777777738
"('2', '369')",-0.5069444444444411
"('2', '374')",-0.36111111111110783
"('2', '378')",-0.4444444444444404
"('2', '393')",-0.4888888888888854
"('2', '396')",-0.4833333333333303
"('2', '436')",-0.38888888888888506
"('2', '476')",-0.39444444444444127
"('2', '484')",-0.5055555555555522
"('2', '507')",-0.4888888888888858
"('2', '508')",-0.5499999999999965
"('2', '521')",-0.5499999999999969
"('2', '530')",-0.5722222222222186
"('2', '543')",-0.44444444444444065
"('2', '563')",-0.49722222222221846
"('2', '568')",-0.5222222222222186
"('2', '570')",-0.5666666666666633
"('2', '593')",-0.4527777777777744
"('2', '603')",-0.42222222222221806
"('2', '648')",-0.5499999999999963
"('2', '660')",-0.44444444444444153
"('2', '702')",-0.4972222222222187
"('2', '711')",-0.4166666666666634
"('2', '721')",-0.4611111111111068
"('2', '764')",-0.48611111111110805
"('2', '782')",-0.6277777777777733
"('2', '793')",-0.4833333333333303
"('2', '811')",-0.5666666666666622
"('2', '829')",-0.4555555555555515
"('2', '845')",-0.541666666666663
"('2', '901')",-0.4972222222222189
"('2', '910')",-0.4166666666666634
"('2', '973')",-0.5833333333333288
"('3', '98')",-0.12499999999999978
"('4', '7')",-0.4670807453416126
"('4', '8')",-0.4796992481202982
"('4', '15')",-0.5175824175824146
"('4', '16')",-0.562087912087909
"('4', '20')",-0.4451219512195117
"('4', '26')",-0.5507936507936475
"('4', '31')",-0.42380952380952097
"('4', '33')",-0.4499999999999973
"('4', '48')",-0.499450549450547
"('4', '57')",-0.471428571428568
"('4', '58')",-0.5702380952380925
"('4', '64')",-0.3607142857142829
"('4', '75')",-0.399999999999997
"('4', '86')",-0.49999999999999667
"('4', '95')",-0.5994047619047578
"('4', '104')",-0.48333333333333006
