Edge,Ollivier-Ricci Curvature
"('0', '1')",-0.34617682198327393
"('0', '2')",-0.3148148148148153
"('0', '3')",-0.27460317460317474
"('0', '4')",-0.41203703703703787
"('0', '5')",-0.25198412698412653
"('0', '6')",-0.23379629629629672
"('0', '7')",-0.31214689265536744
"('0', '9')",-0.32962962962962994
"('0', '11')",-0.27214714714714683
"('0', '12')",-0.31395348837209136
"('0', '13')",-0.30747515808491377
"('0', '14')",-0.29777777777777636
"('0', '17')",-0.38558201058201136
"('0', '20')",-0.33207070707070785
"('0', '22')",-0.3148148148148149
"('0', '24')",-0.3248792270531411
"('0', '32')",-0.3169312169312186
"('0', '38')",-0.35809178743961345
"('0', '39')",-0.3574074074074085
"('0', '41')",-0.3003968253968261
"('0', '46')",-0.3935185185185204
"('0', '47')",-0.5252849002849016
"('0', '49')",-0.47685185185185275
"('0', '54')",-0.42592592592592693
"('0', '55')",-0.37418300653594927
"('0', '56')",-0.442592592592594
"('0', '62')",-0.405092592592593
"('0', '70')",-0.3037037037037029
"('0', '74')",-0.3425925925925948
"('0', '76')",-0.39120370370370483
"('0', '78')",-0.47685185185185386
"('0', '83')",-0.46759259259259367
"('0', '85')",-0.4853988603988637
"('0', '96')",-0.4203703703703716
"('0', '99')",-0.5046296296296318
"('0', '104')",-0.4259259259259285
"('0', '106')",-0.43287037037037224
"('0', '112')",-0.3651368760064435
"('0', '116')",-0.4629629629629646
"('0', '124')",-0.4675925925925941
"('0', '132')",-0.5196078431372564
"('0', '142')",-0.45584045584045696
"('0', '149')",-0.4206349206349216
"('0', '151')",-0.4689153439153464
"('0', '152')",-0.4583333333333348
"('0', '157')",-0.4861111111111114
"('0', '161')",-0.4986772486772497
"('0', '165')",-0.36574074074074225
"('0', '178')",-0.5534511784511806
"('0', '184')",-0.4675925925925948
"('0', '193')",-0.4768518518518541
"('0', '194')",-0.49907407407407534
"('0', '195')",-0.4055555555555561
"('0', '208')",-0.4490740740740762
"('0', '219')",-0.4861111111111134
"('0', '223')",-0.3333333333333355
"('0', '237')",-0.5013227513227547
"('0', '269')",-0.517195767195769
"('0', '280')",-0.49206349206349365
"('0', '281')",-0.4345238095238111
"('0', '282')",-0.5629629629629649
"('0', '290')",-0.5092592592592617
"('0', '305')",-0.5324074074074097
"('0', '320')",-0.47592592592592764
"('0', '346')",-0.37500000000000155
"('0', '347')",-0.31481481481481643
"('0', '350')",-0.5033068783068799
"('0', '399')",-0.3101851851851869
"('0', '406')",-0.45648148148148393
"('0', '421')",-0.48981481481481626
"('0', '424')",-0.47500000000000187
"('0', '432')",-0.5376984126984155
"('0', '435')",-0.5555555555555582
"('0', '460')",-0.4592592592592608
"('0', '476')",-0.4916666666666687
"('0', '520')",-0.5462962962962983
"('0', '552')",-0.453042328042329
"('0', '564')",-0.34259259259259434
"('0', '595')",-0.4518518518518537
"('0', '617')",-0.4518518518518537
"('0', '619')",-0.5648148148148162
"('0', '628')",-0.40740740740740944
"('0', '629')",-0.44907407407407596
"('0', '650')",-0.4953703703703718
"('0', '679')",-0.5657407407407429
"('0', '692')",-0.6333333333333344
"('0', '718')",-0.5972222222222248
"('0', '761')",-0.35185185185185386
"('0', '792')",-0.564814814814816
"('0', '796')",-0.45833333333333526
"('0', '798')",-0.4638888888888908
"('0', '809')",-0.4212962962962985
"('0', '813')",-0.5601851851851865
"('0', '848')",-0.6250000000000016
"('0', '849')",-0.4259259259259278
"('0', '857')",-0.4629629629629646
"('0', '861')",-0.375000000000002
"('0', '867')",-0.462962962962965
"('0', '877')",-0.5148148148148168
"('0', '880')",-0.523148148148149
