Node1,Node2,Bakry-Émery Curvature
0,1,-45.0
0,2,-58.0
0,3,-43.5
0,4,-54.0
0,5,-37.0
0,6,-68.0
0,7,-44.5
0,13,-27.5
0,16,-47.5
0,18,-46.0
0,21,-49.5
0,25,-33.0
0,33,-32.5
0,34,-49.5
0,36,-37.5
0,38,-34.0
0,130,-32.0
0,133,-27.5
0,188,-26.5
0,190,-27.0
0,197,-27.5
0,210,-27.5
0,222,-25.0
0,241,-28.0
0,313,-27.5
0,351,-26.0
0,388,-25.0
0,400,-26.5
0,414,-25.0
0,417,-25.0
0,447,-25.5
0,476,-27.0
0,496,-25.5
0,505,-26.0
0,519,-26.0
0,525,-26.5
0,546,-25.5
0,552,-27.0
0,559,-25.5
0,569,-26.0
0,582,-26.0
0,621,-25.0
0,642,-25.0
0,659,-26.0
0,667,-25.5
0,682,-25.5
0,709,-25.5
0,719,-26.0
0,730,-25.5
0,799,-25.0
0,897,-25.5
0,915,-25.0
1,5,-33.0
1,6,-64.0
1,7,-40.5
1,8,-47.5
1,12,-38.0
1,14,-54.0
1,22,-33.5
1,30,-22.5
1,38,-30.0
1,55,-36.0
1,77,-25.5
1,83,-22.5
1,107,-33.5
1,110,-26.5
1,115,-25.5
1,191,-22.5
1,201,-23.5
1,212,-23.5
1,234,-22.0
1,249,-22.5
1,262,-23.0
1,279,-23.5
1,302,-23.5
1,331,-21.5
1,405,-21.5
1,406,-22.0
1,409,-23.5
1,435,-21.5
1,455,-21.5
1,479,-22.0
1,495,-21.0
1,542,-21.0
1,610,-21.0
1,647,-21.5
1,655,-21.5
1,671,-21.0
1,710,-22.0
1,817,-21.0
1,876,-21.0
1,879,-22.0
1,886,-21.0
1,893,-21.0
1,968,-21.0
2,5,-46.0
2,6,-77.0
2,8,-60.5
2,10,-55.5
2,11,-51.0
2,13,-36.5
2,14,-67.0
2,17,-47.5
2,18,-55.0
2,20,-54.0
2,25,-42.0
2,26,-39.5
2,27,-40.5
2,32,-47.5
2,33,-41.5
2,39,-54.0
2,57,-42.0
2,70,-35.0
2,80,-45.5
2,95,-38.5
2,106,-36.0
2,124,-36.5
2,132,-39.0
2,142,-35.5
2,146,-35.0
2,159,-35.5
2,164,-40.5
2,179,-34.0
2,192,-35.5
2,194,-35.5
2,202,-36.0
2,211,-35.0
2,229,-36.0
2,230,-36.5
2,237,-34.5
2,240,-37.0
2,255,-35.5
2,256,-37.5
2,269,-36.0
2,276,-34.0
2,297,-39.5
2,298,-34.5
2,307,-35.0
2,334,-34.5
2,352,-35.0
2,408,-34.5
2,415,-35.0
2,440,-36.0
2,506,-34.0
2,570,-34.5
2,589,-34.0
2,655,-34.5
2,668,-34.5
2,679,-35.0
2,727,-34.5
2,745,-34.0
2,768,-34.5
2,769,-34.0
2,785,-34.0
2,801,-34.0
2,835,-34.0
2,839,-34.0
2,847,-34.5
2,884,-34.5
2,887,-34.0
2,901,-34.0
2,935,-34.0
2,946,-34.0
2,961,-34.0
3,5,-31.5
3,11,-36.5
3,22,-32.0
3,29,-28.5
3,36,-32.0
3,41,-28.5
3,44,-43.5
3,57,-27.5
3,59,-23.5
3,67,-29.5
3,78,-21.5
3,97,-20.5
3,98,-23.0
3,102,-29.5
3,126,-23.0
3,136,-25.5
3,157,-22.5
3,174,-24.5
3,187,-20.5
3,195,-21.0
3,277,-23.0
3,293,-23.5
3,297,-25.0
3,339,-21.0
3,351,-20.5
3,427,-22.0
3,431,-22.0
3,451,-20.5
3,544,-20.0
3,570,-20.0
3,575,-20.5
3,624,-19.5
3,652,-19.5
3,660,-21.0
3,758,-20.0
3,771,-19.5
3,776,-20.5
3,966,-19.5
3,973,-19.5
3,986,-19.5
4,6,-73.0
4,7,-49.5
4,8,-56.5
4,9,-52.5
4,12,-47.0
4,14,-63.0
4,21,-54.5
4,22,-42.5
4,23,-36.0
4,27,-36.5
4,35,-32.0
4,53,-35.0
4,54,-39.0
4,73,-31.5
4,75,-34.5
4,77,-34.5
4,81,-35.0
4,89,-33.0
4,92,-31.0
4,111,-31.0
4,112,-33.0
4,114,-35.0
4,123,-31.0
4,143,-34.5
4,148,-33.0
4,175,-32.5
4,194,-31.5
4,215,-31.0
4,217,-35.5
4,223,-31.0
4,225,-30.5
4,250,-33.5
4,273,-33.0
4,290,-30.0
4,350,-33.5
4,354,-31.5
4,358,-31.5
4,377,-31.5
4,413,-31.5
4,443,-30.5
4,504,-32.0
4,535,-31.0
4,605,-32.0
4,612,-30.5
4,635,-30.0
4,649,-30.0
4,650,-30.0
4,669,-30.0
4,698,-31.0
4,737,-30.0
4,743,-30.0
4,789,-30.0
4,809,-30.0
4,811,-30.5
4,867,-30.5
4,889,-30.0
4,897,-30.5
4,900,-30.0
4,916,-30.0
4,937,-30.0
4,941,-30.0
5,7,-32.5
5,34,-37.5
5,52,-25.0
5,90,-17.5
5,95,-17.5
5,97,-14.0
5,102,-23.0
5,117,-15.5
5,161,-18.0
5,185,-14.5
5,256,-16.5
5,316,-15.0
5,365,-14.0
5,392,-13.0
5,418,-14.5
5,427,-15.5
5,531,-14.5
5,539,-13.5
5,542,-13.0
5,627,-15.0
5,700,-13.0
5,744,-13.0
5,930,-13.0
5,947,-13.0
6,8,-70.5
6,9,-66.5
6,10,-65.5
6,15,-81.5
6,16,-66.5
6,18,-65.0
6,19,-60.0
6,21,-68.5
6,22,-56.5
6,24,-76.0
6,28,-52.5
6,30,-45.5
6,40,-53.0
6,47,-49.5
6,50,-58.5
6,52,-56.0
6,57,-52.0
6,58,-53.0
6,62,-46.5
6,63,-52.0
6,66,-56.0
6,79,-62.5
6,84,-53.0
6,85,-51.0
6,94,-52.0
6,98,-47.5
6,108,-49.0
6,113,-45.5
6,120,-44.0
6,123,-45.0
6,127,-48.5
6,129,-47.5
6,134,-46.5
6,135,-46.0
6,144,-49.0
6,145,-48.0
6,146,-45.0
6,151,-45.5
6,153,-48.5
6,154,-45.0
6,157,-47.0
6,172,-48.5
6,188,-45.5
6,207,-44.5
6,216,-47.0
6,238,-48.0
6,261,-46.0
6,273,-47.0
6,280,-47.0
6,281,-47.0
6,286,-46.0
6,302,-46.5
6,303,-47.0
6,347,-46.0
6,352,-45.0
6,361,-44.5
6,368,-45.0
6,370,-46.5
6,374,-47.0
6,375,-47.0
6,376,-44.5
6,413,-45.5
6,445,-44.5
6,493,-45.5
6,501,-45.0
6,514,-45.5
6,526,-44.0
6,542,-44.0
6,544,-44.5
6,547,-44.0
6,562,-46.0
6,585,-44.5
6,607,-46.5
6,626,-45.0
6,632,-45.0
6,642,-44.0
6,673,-44.0
6,680,-44.0
6,729,-44.0
6,752,-44.0
6,754,-44.0
6,762,-44.0
6,821,-44.0
6,827,-44.0
6,843,-44.0
6,914,-44.0
7,9,-43.0
7,15,-58.0
7,17,-34.0
7,26,-26.0
7,28,-29.0
7,70,-21.5
7,73,-22.0
7,86,-24.0
7,96,-28.5
7,97,-21.5
7,103,-22.0
7,111,-21.5
7,149,-24.5
7,161,-25.5
7,163,-25.0
7,179,-20.5
7,196,-26.5
7,221,-24.0
7,240,-23.5
7,262,-22.5
7,263,-24.5
7,287,-21.0
7,309,-20.5
7,344,-22.5
7,414,-20.5
7,455,-21.0
7,466,-22.0
7,482,-20.5
7,495,-20.5
7,547,-20.5
7,565,-20.5
7,628,-20.5
7,630,-21.5
7,682,-21.0
7,684,-20.5
7,751,-22.0
7,760,-21.0
7,809,-20.5
7,865,-21.0
13,8,-30.0
13,11,-20.5
13,115,-8.0
13,172,-8.0
13,529,-4.5
13,691,-3.5
13,825,-3.5
16,8,-50.0
16,15,-61.0
16,24,-55.5
16,40,-32.5
16,48,-29.5
16,56,-27.0
16,71,-28.0
16,107,-36.0
16,182,-26.0
16,205,-27.0
16,215,-24.5
16,217,-29.0
16,236,-26.5
16,253,-25.5
16,263,-27.5
16,264,-26.0
16,305,-25.5
16,391,-25.5
16,435,-24.0
16,465,-24.5
16,479,-24.5
16,489,-24.0
16,499,-24.5
16,509,-24.0
16,553,-23.5
16,593,-24.0
16,598,-25.0
16,631,-23.5
16,691,-23.5
16,696,-24.0
16,697,-24.5
16,698,-24.5
16,737,-23.5
16,738,-23.5
16,739,-24.0
16,746,-23.5
16,752,-23.5
16,757,-23.5
16,775,-23.5
16,874,-23.5
16,883,-23.5
16,904,-23.5
16,907,-23.5
16,925,-23.5
16,984,-23.5
16,991,-23.5
16,995,-23.5
18,10,-43.5
18,23,-28.0
18,28,-30.5
18,31,-30.5
18,32,-35.5
18,39,-42.0
18,42,-24.5
18,51,-23.0
18,79,-40.5
18,81,-27.0
18,90,-26.5
18,101,-27.0
18,141,-25.0
18,151,-23.5
18,159,-23.5
18,165,-25.0
18,187,-23.0
18,203,-24.5
18,218,-22.0
18,225,-22.5
18,231,-23.0
18,232,-23.0
18,242,-25.5
18,283,-24.0
18,288,-24.5
18,311,-23.5
18,337,-24.0
18,358,-23.5
18,371,-22.5
18,376,-22.5
18,491,-23.0
18,496,-22.5
18,546,-22.5
18,552,-24.0
18,567,-22.0
18,678,-22.0
18,792,-22.0
18,801,-22.0
18,803,-22.0
18,842,-22.0
18,879,-23.0
18,920,-22.5
18,984,-22.0
21,19,-41.5
21,25,-33.5
21,27,-32.0
21,30,-27.0
21,36,-38.0
21,37,-31.5
21,42,-28.0
21,43,-30.0
21,45,-32.0
21,59,-29.5
21,66,-37.5
21,70,-26.5
21,80,-37.0
21,101,-30.5
21,125,-25.5
21,159,-27.0
21,160,-30.0
21,188,-27.0
21,191,-27.0
21,209,-28.0
21,222,-25.5
21,236,-28.5
21,257,-29.0
21,258,-28.0
21,261,-27.5
21,284,-25.5
21,340,-26.5
21,341,-26.0
21,363,-26.0
21,399,-27.0
21,407,-26.5
21,414,-25.5
21,430,-26.0
21,469,-26.5
21,508,-26.0
21,563,-26.5
21,615,-26.5
21,623,-26.5
21,676,-25.5
21,708,-25.5
21,763,-25.5
21,797,-25.5
21,832,-25.5
21,833,-27.0
21,841,-25.5
21,851,-25.5
21,875,-25.5
21,937,-25.5
21,964,-25.5
21,977,-25.5
25,15,-46.5
25,28,-17.5
25,37,-15.0
25,39,-29.0
25,65,-12.5
25,74,-11.0
25,178,-12.0
25,266,-10.5
25,284,-9.0
25,361,-9.5
25,375,-12.0
25,491,-10.0
25,607,-11.5
25,736,-9.0
25,767,-9.5
25,908,-9.0
25,972,-9.0
33,8,-35.0
33,28,-17.0
33,56,-12.0
33,64,-10.0
33,78,-10.5
33,85,-15.5
33,108,-13.5
33,158,-11.5
33,167,-13.0
33,252,-9.0
33,326,-9.5
33,440,-10.5
33,477,-8.5
33,489,-9.0
33,527,-10.5
33,570,-9.0
33,626,-9.5
34,8,-52.0
34,11,-42.5
34,49,-30.5
34,67,-35.5
34,75,-30.0
34,79,-44.0
34,102,-35.5
34,109,-28.0
34,113,-27.0
34,124,-28.0
34,140,-28.5
34,170,-26.5
34,202,-27.5
34,219,-27.0
34,238,-29.5
34,241,-28.5
34,251,-26.0
34,254,-27.5
34,260,-26.5
34,267,-25.5
34,306,-27.0
34,308,-28.0
34,317,-26.5
34,333,-27.0
34,357,-26.5
34,380,-26.0
34,412,-28.0
34,461,-27.0
34,462,-26.0
34,479,-26.5
34,552,-27.5
34,558,-25.5
34,576,-26.0
34,618,-25.5
34,657,-26.0
34,707,-26.0
34,708,-25.5
34,741,-25.5
34,745,-25.5
34,765,-25.5
34,778,-26.0
34,787,-26.0
34,794,-25.5
34,799,-25.5
34,802,-26.0
34,849,-25.5
34,870,-25.5
34,911,-25.5
34,939,-25.5
34,983,-25.5
34,988,-25.5
36,10,-35.0
36,37,-19.5
36,46,-21.0
36,53,-18.5
36,60,-20.5
36,68,-19.0
36,87,-18.5
36,98,-17.0
36,141,-16.5
36,228,-18.5
36,310,-15.5
36,333,-15.0
36,428,-15.0
36,440,-15.5
36,507,-13.5
36,594,-15.5
36,649,-13.5
36,702,-13.5
36,703,-13.5
36,733,-14.5
36,781,-14.5
36,785,-13.5
36,823,-14.0
36,862,-13.5
36,914,-13.5
36,924,-13.5
38,15,-47.5
38,24,-42.0
38,53,-15.0
38,66,-22.0
38,67,-20.0
38,72,-12.0
38,80,-21.5
38,147,-10.5
38,167,-14.5
38,186,-13.0
38,206,-10.5
38,234,-11.0
38,342,-11.5
38,428,-11.5
38,442,-10.5
38,459,-10.5
38,523,-12.0
38,525,-11.5
38,544,-10.5
38,753,-10.0
130,44,-32.0
130,83,-9.5
130,92,-9.0
130,135,-10.0
130,147,-8.5
130,196,-14.0
130,246,-12.5
130,250,-11.5
130,282,-9.5
130,347,-10.0
130,523,-10.0
130,529,-9.0
130,556,-8.0
130,687,-8.5
130,720,-8.0
130,873,-8.0
130,948,-8.0
133,14,-36.5
133,29,-12.5
133,40,-12.5
133,216,-6.5
133,234,-4.5
