Node1,Node2,Bakry-Émery Curvature
0,1,-97.5
0,2,-109.0
0,3,-229.0
0,4,-125.5
0,5,-212.5
0,6,-151.0
0,7,-179.5
0,11,-97.5
0,12,-127.0
0,13,-135.5
0,14,-142.5
0,18,-120.0
0,20,-114.5
0,23,-96.0
0,29,-146.5
0,30,-110.0
0,35,-100.5
0,36,-128.5
0,47,-105.0
0,53,-95.0
0,64,-137.0
0,65,-104.0
0,67,-92.5
0,71,-125.0
0,78,-101.5
0,90,-99.0
0,99,-107.0
0,112,-100.0
0,115,-99.5
0,154,-92.0
0,174,-94.0
0,179,-95.5
0,196,-94.0
0,197,-94.0
0,198,-93.5
0,213,-94.0
0,287,-88.5
0,307,-90.0
0,317,-95.0
0,321,-87.0
0,333,-89.5
0,335,-89.0
0,339,-89.5
0,360,-89.5
0,367,-91.0
0,377,-93.5
0,409,-93.0
0,424,-91.0
0,426,-92.0
0,450,-87.0
0,476,-87.5
0,480,-87.0
0,486,-91.5
0,497,-87.0
0,522,-88.0
0,529,-88.0
0,556,-87.5
0,598,-95.0
0,644,-88.5
0,657,-91.5
0,674,-89.5
0,714,-88.5
0,720,-88.5
0,855,-87.5
0,856,-87.0
0,859,-86.0
0,868,-89.0
0,952,-87.0
0,974,-89.0
0,981,-87.0
0,986,-88.5
0,996,-91.0
0,998,-90.5
0,999,-86.0
0,1047,-87.0
0,1102,-88.0
0,1106,-89.0
0,1142,-85.5
0,1175,-88.0
0,1210,-90.0
0,1212,-91.0
0,1222,-86.5
0,1225,-91.5
0,1292,-87.5
0,1308,-86.5
0,1324,-91.0
0,1340,-87.0
0,1433,-87.0
0,1499,-87.5
0,1502,-87.0
0,1506,-85.5
0,1520,-88.5
0,1541,-89.5
0,1575,-85.5
0,1605,-85.5
0,1628,-87.5
0,1678,-86.0
0,1712,-85.5
0,1716,-86.5
0,1750,-87.0
0,1789,-86.5
0,1813,-85.5
0,1851,-86.5
0,1868,-85.5
0,1869,-86.5
0,2001,-86.0
0,2037,-86.5
0,2055,-86.0
0,2077,-86.0
0,2186,-86.0
0,2234,-86.5
0,2282,-85.5
0,2291,-88.0
0,2399,-86.0
0,2455,-89.0
0,2456,-86.0
0,2493,-85.5
0,2505,-85.5
0,2506,-85.5
0,2544,-88.5
0,2565,-86.0
0,2607,-86.5
0,2633,-85.5
0,2689,-86.0
0,2754,-85.5
0,2784,-85.5
0,2888,-86.0
0,2913,-86.0
0,2927,-87.0
0,3009,-86.0
0,3037,-86.0
0,3041,-85.5
0,3075,-86.5
0,3099,-85.5
0,3119,-85.5
0,3152,-86.5
0,3206,-86.0
0,3250,-87.0
0,3465,-86.0
0,3516,-86.0
0,3603,-87.0
0,3712,-86.0
0,3815,-85.5
0,3823,-85.5
0,3835,-86.0
0,3848,-86.0
0,3868,-86.0
0,3922,-86.5
0,3952,-86.0
0,3975,-85.5
0,4059,-85.5
0,4063,-85.5
0,4097,-85.5
0,4165,-86.0
0,4235,-85.5
0,4287,-85.5
0,4315,-85.5
0,4355,-86.0
0,4357,-86.0
0,4385,-85.5
0,4403,-85.5
0,4428,-85.5
0,4437,-85.5
0,4451,-85.5
0,4552,-86.0
0,4611,-85.5
0,4648,-85.5
0,4680,-85.5
0,4718,-86.0
0,4792,-85.5
0,4800,-86.0
0,4821,-85.5
0,4906,-85.5
1,5,-140.0
1,6,-78.5
1,12,-54.5
1,63,-31.0
1,155,-22.5
1,267,-19.0
1,339,-17.0
1,578,-15.5
1,596,-16.0
1,937,-15.0
1,1015,-15.0
1,1482,-14.0
